Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
160,Complete,Male,55-64 years,WA,Australian Rules Football (AFL),,Divorced,Retired,Year/Grade 12 or equivalent
161,Complete,Female,65+ years,NSW,Australian Rules Football (AFL),,De facto / Lives with partner,Retired,Year/Grade 10 (or equivalent) or lower
162,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
163,Complete,Female,65+ years,NSW,Tennis,,Single,Retired,Year/Grade 12 or equivalent
164,Complete,Male,65+ years,QLD,Tennis,,Single,"An employee on wages, salary or commission",TAFE qualification
165,Complete,Female,65+ years,WA,Australian Rules Football (AFL),,Married,Retired,Post Graduate Degree - Doctorate
166,Complete,Male,65+ years,NSW,Other (please specify),moto gp,Married,Retired,Year/Grade 10 (or equivalent) or lower
167,Complete,Female,25-34 years,ACT,Cricket,,Single,Homemaker,TAFE qualification
168,Complete,Female,45-54 years,NSW,Formula 1,,Single,"An employee on wages, salary or commission",TAFE qualification
169,Complete,Male,55-64 years,TAS,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
170,Complete,Male,65+ years,QLD,Rugby League (NRL),,Married,Retired,Diploma and advanced Diploma
171,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Widowed,"An employee on wages, salary or commission",Diploma and advanced Diploma
172,Complete,Female,65+ years,VIC,Basketball,,Married,Retired,TAFE qualification
173,Complete,Male,65+ years,NSW,Swimming,,Married,Retired,Undergraduate or Bachelor Degree
174,Complete,Male,35-44 years,SA,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
175,Complete,Male,55-64 years,TAS,Cricket,,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
176,Complete,Male,65+ years,TAS,Cricket,,Married,Retired,TAFE qualification
177,Complete,Male,25-34 years,NSW,Cricket,,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
178,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Single,Not currently employed,TAFE qualification
