Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
489,Complete,Female,45-54 years,VIC,Tennis,,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
490,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
491,Complete,Male,65+ years,QLD,Rugby League (NRL),,Married,Retired,TAFE qualification
492,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
493,Complete,Female,55-64 years,VIC,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
494,Complete,Male,55-64 years,WA,Tennis,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
495,Complete,Female,25-34 years,NSW,Formula 1,,Married,Not currently employed,Undergraduate or Bachelor Degree
496,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Undergraduate or Bachelor Degree
497,Complete,Female,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
498,Complete,Female,35-44 years,QLD,Swimming,,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
499,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
500,Complete,Female,55-64 years,NSW,Cricket,,De facto / Lives with partner,Self-employed,Diploma and advanced Diploma
501,Complete,Female,55-64 years,TAS,Cricket,,Single,Retired,Year/Grade 12 or equivalent
503,Complete,Female,55-64 years,VIC,Cricket,,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
504,Complete,Female,65+ years,QLD,Cricket,,Married,Retired,Year/Grade 12 or equivalent
505,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,Undergraduate or Bachelor Degree
506,Complete,Female,55-64 years,TAS,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
507,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
508,Complete,Male,65+ years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
509,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
510,Complete,Male,25-34 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
511,Complete,Male,65+ years,NSW,Rugby League (NRL),,Married,Retired,Diploma and advanced Diploma
512,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
513,Complete,Female,25-34 years,ACT,Cricket,,De facto / Lives with partner,Homemaker,Diploma and advanced Diploma
514,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Year/Grade 10 (or equivalent) or lower
515,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,Homemaker,Year/Grade 12 or equivalent
516,Complete,Male,65+ years,NSW,Soccer,,Married,Retired,Post Graduate Degree - Master's
517,Complete,Female,55-64 years,NSW,Swimming,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
518,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
519,Complete,Male,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
520,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
521,Complete,Female,35-44 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
522,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Widowed,Retired,Year/Grade 12 or equivalent
523,Complete,Male,45-54 years,NSW,Soccer,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
524,Complete,Male,65+ years,QLD,Rugby League (NRL),,Divorced,Retired,TAFE qualification
525,Complete,Male,35-44 years,VIC,Soccer,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
526,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,In a relationship,Retired,Year/Grade 12 or equivalent
527,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Married,Retired,Diploma and advanced Diploma
528,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,In a relationship,Self-employed,TAFE qualification
529,Complete,Female,65+ years,QLD,Rugby Union,,Married,Retired,TAFE qualification
530,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
531,Complete,Female,55-64 years,NSW,Swimming,,Single,Not currently employed,Year/Grade 12 or equivalent
533,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,Diploma and advanced Diploma
534,Complete,Female,65+ years,NSW,Australian Rules Football (AFL),,Widowed,Retired,Year/Grade 10 (or equivalent) or lower
535,Complete,Male,25-34 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
536,Complete,Female,35-44 years,NSW,Rugby Union,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
537,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
538,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
539,Complete,Female,25-34 years,VIC,Swimming,,Single,"An employee on wages, salary or commission",TAFE qualification
540,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
541,Complete,Female,65+ years,NSW,Tennis,,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
542,Complete,Female,65+ years,NSW,Cricket,,Single,Retired,Graduate Diploma/ Graduate Certificate
543,Complete,Female,35-44 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
544,Complete,Male,55-64 years,SA,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
545,Complete,Female,18-24 years,NSW,Swimming,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
546,Complete,Female,65+ years,NSW,Rugby League (NRL),,Widowed,"An employee on wages, salary or commission",TAFE qualification
547,Complete,Female,65+ years,QLD,Surfing,,Married,Retired,Undergraduate or Bachelor Degree
548,Complete,Female,65+ years,VIC,Cricket,,Single,Retired,Year/Grade 10 (or equivalent) or lower
549,Complete,Male,45-54 years,VIC,Cricket,,In a relationship,Retired,Year/Grade 12 or equivalent
550,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
551,Complete,Female,45-54 years,WA,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
552,Complete,Female,35-44 years,VIC,Tennis,,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
553,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Engaged,"An employee on wages, salary or commission",Post Graduate Degree - Master's
554,Complete,Female,55-64 years,NSW,Rugby League (NRL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
555,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
556,Complete,Female,35-44 years,WA,Australian Rules Football (AFL),,Married,Homemaker,TAFE qualification
557,Complete,Female,55-64 years,VIC,Cricket,,Married,Homemaker,Diploma and advanced Diploma
558,Complete,Male,45-54 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
559,Complete,Female,25-34 years,NSW,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
560,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
561,Complete,Female,25-34 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
562,Complete,Female,35-44 years,NSW,Rugby Union,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
563,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
564,Complete,Female,45-54 years,QLD,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",TAFE qualification
565,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,TAFE qualification
566,Complete,Female,45-54 years,SA,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
567,Complete,Male,65+ years,NSW,Rugby League (NRL),,Separated,Retired,Year/Grade 10 (or equivalent) or lower
568,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
569,Complete,Female,45-54 years,WA,Australian Rules Football (AFL),,Single,Homemaker,Undergraduate or Bachelor Degree
570,Complete,Male,45-54 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
571,Complete,Female,65+ years,NSW,Cricket,,Single,Homemaker,Year/Grade 10 (or equivalent) or lower
572,Complete,Male,55-64 years,NSW,Other (please specify),I really don't know ,Single,Retired,Year/Grade 10 (or equivalent) or lower
573,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
574,Complete,Female,65+ years,NSW,Australian Rules Football (AFL),,Divorced,Retired,Year/Grade 10 (or equivalent) or lower
575,Complete,Female,55-64 years,WA,Cricket,,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
576,Complete,Female,25-34 years,VIC,Tennis,,Engaged,Self-employed,Year/Grade 12 or equivalent
577,Complete,Male,35-44 years,NSW,Soccer,,De facto / Lives with partner,"An employee on wages, salary or commission",TAFE qualification
578,Complete,Female,65+ years,NSW,Rugby League (NRL),,Single,Retired,Year/Grade 12 or equivalent
579,Complete,Female,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
580,Complete,Male,55-64 years,NSW,Swimming,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
581,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Year/Grade 10 (or equivalent) or lower
582,Complete,Female,65+ years,WA,Soccer,,Married,Not currently employed,Undergraduate or Bachelor Degree
583,Complete,Female,25-34 years,QLD,Rugby League (NRL),,Engaged,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
584,Complete,Female,65+ years,QLD,Cricket,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
585,Complete,Female,45-54 years,QLD,Rugby League (NRL),,Married,Homemaker,TAFE qualification
586,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,Engaged,Not currently employed,Year/Grade 10 (or equivalent) or lower
587,Complete,Male,55-64 years,WA,Soccer,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
588,Complete,Female,35-44 years,WA,Cricket,,De facto / Lives with partner,"An employee on wages, salary or commission",TAFE qualification
589,Complete,Male,55-64 years,VIC,Cricket,,Divorced,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
590,Complete,Female,65+ years,QLD,Rugby League (NRL),,Married,Retired,Year/Grade 12 or equivalent
591,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,Year/Grade 12 or equivalent
592,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
593,Complete,Male,45-54 years,QLD,Cricket,,Divorced,"An employee on wages, salary or commission",Diploma and advanced Diploma
594,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
595,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",TAFE qualification
596,Complete,Male,55-64 years,QLD,Surfing,,Married,Retired,Undergraduate or Bachelor Degree
597,Complete,Male,25-34 years,NSW,Cricket,,Single,Not currently employed,Undergraduate or Bachelor Degree
598,Complete,Female,25-34 years,QLD,Rugby League (NRL),,In a relationship,"An employee on wages, salary or commission",Diploma and advanced Diploma
599,Complete,Male,55-64 years,NSW,Cricket,,Married,Retired,Diploma and advanced Diploma
600,Complete,Female,35-44 years,QLD,Surfing,,De facto / Lives with partner,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
601,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
602,Complete,Female,65+ years,NSW,Swimming,,Married,Retired,TAFE qualification
603,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
604,Complete,Male,65+ years,QLD,Cricket,,Married,Retired,TAFE qualification
605,Complete,Female,25-34 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
606,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,Married,Homemaker,Diploma and advanced Diploma
607,Complete,Male,25-34 years,NSW,Basketball,,Single,"An employee on wages, salary or commission",TAFE qualification
608,Complete,Female,45-54 years,NSW,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
609,Complete,Male,45-54 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
610,Complete,Female,55-64 years,VIC,Cricket,,Married,Retired,Post Graduate Degree - Master's
611,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
612,Complete,Female,55-64 years,VIC,Cricket,,Married,Homemaker,Year/Grade 12 or equivalent
613,Complete,Male,25-34 years,QLD,Rugby Union,,In a relationship,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
614,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Undergraduate or Bachelor Degree
615,Complete,Male,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
616,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
617,Complete,Female,35-44 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
618,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
619,Complete,Female,65+ years,WA,Other (please specify),None,Divorced,Retired,TAFE qualification
620,Complete,Female,65+ years,SA,Soccer,,Single,Retired,TAFE qualification
621,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
623,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
625,Complete,Female,65+ years,NSW,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
626,Complete,Male,65+ years,WA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
627,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
628,Complete,Female,65+ years,VIC,Rugby Union,,Married,Retired,TAFE qualification
629,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
630,Complete,Male,65+ years,NSW,Soccer,,Married,Retired,TAFE qualification
631,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Separated,"An employee on wages, salary or commission",TAFE qualification
632,Complete,Female,65+ years,QLD,Rugby League (NRL),,Divorced,Retired,Diploma and advanced Diploma
633,Complete,Female,45-54 years,QLD,Rugby League (NRL),,Married,Self-employed,Year/Grade 12 or equivalent
634,Complete,Female,35-44 years,NSW,Rugby Union,,Single,Homemaker,Year/Grade 10 (or equivalent) or lower
635,Complete,Female,25-34 years,TAS,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
636,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
637,Complete,Female,35-44 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
638,Complete,Female,25-34 years,NSW,Rugby Union,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
639,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Diploma and advanced Diploma
640,Complete,Female,25-34 years,QLD,Rugby Union,,De facto / Lives with partner,Not currently employed,TAFE qualification
641,Complete,Male,25-34 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
642,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
643,Complete,Female,35-44 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
644,Complete,Female,25-34 years,NSW,Cricket,,Married,Homemaker,Undergraduate or Bachelor Degree
645,Complete,Female,45-54 years,NSW,Rugby League (NRL),,De facto / Lives with partner,Not currently employed,Undergraduate or Bachelor Degree
646,Complete,Female,65+ years,WA,Australian Rules Football (AFL),,Divorced,Self-employed,TAFE qualification
647,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Married,Homemaker,Post Graduate Degree - Master's
648,Complete,Female,55-64 years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
649,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,Graduate Diploma/ Graduate Certificate
650,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
651,Complete,Male,45-54 years,NSW,Rugby League (NRL),,In a relationship,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
652,Complete,Female,25-34 years,QLD,Tennis,,Married,Self-employed,TAFE qualification
653,Complete,Female,25-34 years,WA,Golf,,Married,Self-employed,Post Graduate Degree - Master's
654,Complete,Female,65+ years,NSW,Rugby League (NRL),,In a relationship,Retired,Undergraduate or Bachelor Degree
655,Complete,Female,45-54 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
656,Complete,Female,65+ years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
657,Complete,Male,35-44 years,NSW,Australian Rules Football (AFL),,Married,Retired,Undergraduate or Bachelor Degree
658,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
659,Complete,Male,45-54 years,NSW,Cricket,,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
660,Complete,Female,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
661,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
662,Complete,Female,45-54 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
663,Complete,Male,65+ years,NSW,Rugby League (NRL),,Single,Retired,Year/Grade 10 (or equivalent) or lower
664,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,In a relationship,Not currently employed,Year/Grade 12 or equivalent
665,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
666,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Married,Self-employed,Year/Grade 12 or equivalent
667,Complete,Male,55-64 years,WA,Australian Rules Football (AFL),,Married,Self-employed,Post Graduate Degree - Doctorate
670,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
671,Complete,Female,35-44 years,NSW,Rugby League (NRL),,Married,Self-employed,Diploma and advanced Diploma
672,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
673,Complete,Male,35-44 years,QLD,Rugby Union,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
674,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
675,Complete,Female,35-44 years,TAS,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
676,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
677,Complete,Male,65+ years,WA,Rugby League (NRL),,Divorced,Retired,Year/Grade 12 or equivalent
678,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
679,Complete,Female,65+ years,SA,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
680,Complete,Female,25-34 years,QLD,Soccer,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
681,Complete,Female,65+ years,VIC,Cricket,,Married,Retired,Year/Grade 10 (or equivalent) or lower
682,Complete,Male,55-64 years,SA,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
683,Complete,Male,35-44 years,SA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
684,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Diploma and advanced Diploma
685,Complete,Male,25-34 years,QLD,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
686,Complete,Male,65+ years,WA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 10 (or equivalent) or lower
687,Complete,Male,35-44 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
688,Complete,Female,18-24 years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
689,Complete,Male,35-44 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
690,Complete,Female,25-34 years,WA,Australian Rules Football (AFL),,Single,Self-employed,Diploma and advanced Diploma
691,Complete,Male,45-54 years,WA,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
693,Complete,Male,45-54 years,VIC,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
694,Complete,Male,45-54 years,QLD,Australian Rules Football (AFL),,Married,Homemaker,Year/Grade 12 or equivalent
695,Complete,Female,35-44 years,VIC,Tennis,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
696,Complete,Female,25-34 years,NSW,Cricket,,In a relationship,"An employee on wages, salary or commission",TAFE qualification
697,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
698,Complete,Female,65+ years,NSW,Soccer,,Married,Retired,TAFE qualification
699,Complete,Male,45-54 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
700,Complete,Female,45-54 years,NSW,Rugby League (NRL),,Separated,"An employee on wages, salary or commission",Diploma and advanced Diploma
701,Complete,Male,65+ years,TAS,Australian Rules Football (AFL),,Married,Retired,Diploma and advanced Diploma
702,Complete,Female,25-34 years,QLD,Swimming,,Single,Not currently employed,TAFE qualification
703,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Post Graduate Degree - Master's
704,Complete,Female,55-64 years,NSW,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
705,Complete,Female,35-44 years,NSW,Cricket,,In a relationship,"An employee on wages, salary or commission",TAFE qualification
706,Complete,Female,55-64 years,WA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
707,Complete,Male,25-34 years,VIC,Soccer,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
708,Complete,Male,65+ years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
709,Complete,Female,35-44 years,NSW,Surfing,,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
711,Complete,Male,55-64 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
712,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
713,Complete,Female,55-64 years,NSW,Rugby Union,,Single,Retired,TAFE qualification
714,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
715,Complete,Female,25-34 years,NSW,Cricket,,Married,Homemaker,Undergraduate or Bachelor Degree
716,Complete,Male,35-44 years,NSW,Cricket,,Married,"An employee on wages, salary or commission",Post Graduate Degree - Doctorate
717,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
718,Complete,Male,35-44 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
719,Complete,Female,55-64 years,NSW,Tennis,,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
720,Complete,Female,65+ years,QLD,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
721,Complete,Male,55-64 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
722,Complete,Male,25-34 years,WA,Cricket,,Single,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
723,Complete,Female,25-34 years,QLD,Golf,,In a relationship,"An employee on wages, salary or commission",Graduate Diploma/ Graduate Certificate
724,Complete,Male,65+ years,QLD,Australian Rules Football (AFL),,Single,Retired,Year/Grade 10 (or equivalent) or lower
725,Complete,Male,65+ years,QLD,Cricket,,Married,Retired,Year/Grade 12 or equivalent
726,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Self-employed,Undergraduate or Bachelor Degree
727,Complete,Female,55-64 years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",TAFE qualification
728,Complete,Female,65+ years,WA,Cricket,,Widowed,Retired,Year/Grade 10 (or equivalent) or lower
729,Complete,Female,35-44 years,SA,Australian Rules Football (AFL),,In a relationship,"An employee on wages, salary or commission",Post Graduate Degree - Master's
731,Complete,Female,25-34 years,NSW,Rugby League (NRL),,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
732,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Single,Retired,TAFE qualification
733,Complete,Female,25-34 years,NSW,Tennis,,Single,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
734,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
735,Complete,Male,18-24 years,QLD,Rugby Union,,Single,Not currently employed,Diploma and advanced Diploma
736,Complete,Female,45-54 years,QLD,Australian Rules Football (AFL),,De facto / Lives with partner,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
737,Complete,Female,35-44 years,NSW,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,TAFE qualification
738,Complete,Female,18-24 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
739,Complete,Female,35-44 years,SA,Boxing / MMA,,De facto / Lives with partner,Homemaker,TAFE qualification
740,Complete,Female,35-44 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
